match_id,team_id,team_name,opponent_id,opponent_name,starting_11_players,team_xg
122847,46,VfB Stuttgart,37,RasenBallsport Leipzig,"['Alexander Nübel', 'Serhou Guirassy', 'Pascal Stenzel', 'Waldemar Anton', 'Dan-Axel Zagadou', 'Atakan Karazor', 'Chris Führich', 'Woo-yeong Jeong', 'Silas', 'Hiroki Ito', 'Lilian Egloff']",1.07442
122848,34,SC Freiburg,38,SV Werder Bremen,"['Matthias Ginter', 'Roland Sallai', 'Lukas Kübler', 'Nicolas Höfler', 'Vincenzo Grifo', 'Maximilian Eggestein', 'Lucas Höler', 'Ritsu Doan', 'Philipp Lienhart', 'Noah Atubolu', 'Kiliann Sildillia']",2.2303400000000004
122848,38,SV Werder Bremen,34,SC Freiburg,"['Mitchell Weiser', 'Anthony Jung', 'Niklas Stark', 'Romano Schmid', 'Marco Friedl', 'Amos Pieper', 'Jiri Pavlenka', 'Niclas Füllkrug', 'Marvin Ducksch', 'Jens Stage', 'Christian Groß']",0.94081
122849,27,1. FC Köln,30,VfL Wolfsburg,"['Florian Kainz', 'Benno Schmitz', 'Luca Waldschmidt', 'Davie Selke', 'Leart Paçarada', 'Timo Hübers', 'Marvin Schwäbe', 'Jeff Chabot', 'Dejan Ljubicic', 'Rasmus Carstensen', 'Eric Martel']",0.9617799999999999
122849,30,VfL Wolfsburg,27,1. FC Köln,"['Yannick Gerhardt', 'Koen Casteels', 'Jonas Wind', 'Mattias Svanberg', 'Vaclav Cerny', 'Joakim Maehle', 'Lovro Majer', 'Maxence Lacroix', 'Cédric Zesiger', 'Nicolas Cozza', 'Patrick Wimmer']",1.62053
122850,29,Borussia Dortmund,416,VfL Bochum,"['Emre Can', 'Mats Hummels', 'Marcel Sabitzer', 'Julian Brandt', 'Gregor Kobel', 'Marius Wolf', 'Ramy Bensebaini', 'Donyell Malen', 'Sébastien Haller', 'Felix Nmecha', 'Nico Schlotterbeck']",1.31383
122850,416,VfL Bochum,29,Borussia Dortmund,"['Matus Bero', 'Felix Passlack', 'Kevin Stöger', 'Ivan Ordets', 'Bernardo', 'Manuel Riemann', 'Anthony Losilla', 'Takuma Asano', 'Maximilian Wittek', 'Erhan Masovic', 'Philipp Hofmann']",1.2062599999999999
122851,31,TSG 1899 Hoffenheim,432,1. FC Heidenheim 1846,"['Andrej Kramaric', 'Pavel Kaderabek', 'John Brooks', 'Oliver Baumann', 'Florian Grillitsch', 'Ozan Kabak', 'Wout Weghorst', 'Ihlas Bebou', 'Grischa Prömel', 'Kevin Akpoguma', 'Marius Bülter']",2.9766399999999997
122851,432,1. FC Heidenheim 1846,31,TSG 1899 Hoffenheim,"['Jonas Föhrenbach', 'Niklas Beste', 'Kevin Müller', 'Denis Thomalla', 'Tim Kleindienst', 'Lennard Maloney', 'Patrick Mainka', 'Omar Traoré', 'Eren Dinkçi', 'Tim Siersleben', 'Marvin Pieringer']",2.192030000000001
122852,36,SV Darmstadt 98,446,1. FC Union Berlin,"['Fabian Holland', 'Bartol Franjic', 'Christoph Klarer', 'Marcel Schuhen', 'Marvin Mehlem', 'Mathias Honsak', 'Braydon Manu', 'Luca Pfeiffer', 'Fabian Nürnberger', 'Clemens Riedel', 'Matej Maglica']",2.4255299999999997
122852,446,1. FC Union Berlin,36,SV Darmstadt 98,"['Frederik Rönnow', 'Robin Knoche', 'Aïssa Laïdouni', 'Diogo Leite', 'Danilho Doekhi', 'Josip Juranovic', 'Alex Král', 'Robin Gosens', 'Kevin Behrens', 'Brenden Aaronson', 'David Datro Fofana']",1.03431
